,0,1
0,"Strauß, Bundesminister für Verteidigung:",True
1,"Das Wort hat der Abgeordnete Gärtner.
(Kühbacher [SPD]:",False
2,(Dr. Riedl [München] [CDU/CSU] :,False
3,Christian Schmidt (Fürth) (CDU/CSU):,True
4,Kersten Naumann (PDS):,True
5,"(Katja Dörner [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
6,Vizepräsident Frau Renger:,True
7,(Petra Hinz [Essen] [SPD]:,False
8,"
(Beifall bei Abgeordneten des BÜNDNIS-
SES 90/DIE GRÜNEN – Maria Michalk
[CDU/CSU]: Das ist ja schon eine Rede! –
Tino Sorge [CDU/CSU]:",False
9,Vizepräsidentin Ulla Schmidt:,True
10,(Eckart von Klaeden [CDU/CSU]:,False
11,"ständlich klargestellt werden, dass Kinder Menschen mit
eigenen Rechten sind. Allgemein und abstrakt formu-
liert:",False
12,(Volker Rühe [CDU/CSU]:,False
13,(Abg. Dr. Menzel:,False
14,Ulrich Heinrich (F.D.P.):,True
15,"deren Gremium aufgeklärt werden. Aber seit dem Jah-
reswechsel hat sich die Auffassung noch einmal geän-
dert:",False
16,"— Herr Kollege Wehner, ich will Ihnen einmal etwas sagen.
(Zurufe von der SPD:",False
17,Broll (CDU/CSU):,True
18,Erler (SPD) :,True
19,"Vizepräsident Frau Renger
Ich rufe jetzt Punkt 4 der Tagesordnung auf:",False
20,"(Beifall bei der CDU/CSU und der FDP —
Hornung [CDU/CSU]:",False
21,"nanzierungslücke zu schließen, die Sie mit diesem Ge-
setz beseitigen wollen. Ich frage Sie, liebe Kolleginnen
und Kollegen:",False
22,"Frau Dr. Hamm-Brücher, Staatsminister:",True
23,"Genscher, Bundesminister:",True
24,"gibt substanziell Bewegung in der Sache und bei der in-
haltlichen Ausrichtung der Agenda. Deshalb sagen wir
an dieser Stelle:",False
25,"Herr Kollege, wären Sie mit der gemeinsamen Beantwortung einverstanden? — Dann rufe ich beide Fragen auf:",False
26,"(Volker Schneider [Saarbrücken] [DIE
LINKE]:",False
27,Müntefering (SPD):,True
28,"(Beifall bei der CDU/CSU — Westphal
[SPD]:",False
29,"Vogt, Parl. Staatssekretär:",True
30,Auf gut Deutsch:,False
31,"Dr. Weber, Bundesminister der Justiz:",True
32,Vizepräsidentin Renger:,True
33,"(Beifall bei der SPD)
Wenn da eine DM eingesetzt wird und 50 Pfennig kommen heraus, dann muß ich sagen:",False
34,"(Beifall bei der F.D.P. sowie bei Abgeordneten
der CDU/CSU – Wolfgang Börnsen [Bönstrup]
[CDU/CSU]:",False
35,An der Stelle fällt mir ein:,False
36,(Abg. Köppler:,False
37,"Welt vergleicht. Wenn er den Standort Deutschland für
sehr gut hält und in Deutschland investiert, dann heißt
das:",False
38,Vizepräsident Dr. Dehler:,True
39,Vogelsang (SPD):,True
40,Conradi (SPD):,True
41,"639 und 641!)
— Der Änderungsantrag Umdruck 641 entspricht dem Abschnitt II des Änderungsantrags Umdruck 636.
(Abg. Dr. Wilhelmi:",False
42,Herren! Eines muss man dem Ganzen voranstellen:,False
43,(Bohl [CDU/CSU]:,False
44,"(Otto Schily [SPD]: Der Weg ist das Ziel!)
heißt:",False
45,"sehe hier Herrn Krings, Staatssekretär im Innenministe-
rium. Auch das Innenministerium wird sich einmischen.
Und ich bin mir sicher:",False
46,Dr. Klejdzinski (SPD):,True
47,Präsident Frau Renger:,True
48,(Dr. Angela Merkel [CDU/CSU]:,False
49,"(Maria Klein-Schmeink [BÜNDNIS 90/DIE
GRÜNEN]:",False
50,"Dr. Voss, Parl. Staatssekretär:",True
51,(Beifall bei der CDU/CSU – Jörg Tauss [SPD]:,False
52,Deshalb würde ich Ihnen empfehlen:,False
53,(Dr. Hans-Jochen Vogel [SPD]:,False
54,Tino Sorge (CDU/CSU):,True
55,"Dr. Glotz, Parl. Staatssekretär beim Bundesminister für Bildung und Wissenschaft:",True
56,Sören Bartol (SPD):,True
57,(Abg. Dr. Schmidt [Wuppertal] :,False
58,"(Beifall bei der CDU/CSU und der FDP —
Ingrid Matthäus-Maier [SPD]:",False
59,Vizepräsident Dr. Schneider:,True
60,(Abg. Dr. Mommer:,False
61,"(Beifall bei der SPD und dem BÜNDNIS 90/
DIE GRÜNEN – Maria Eichhorn [CDU/
CSU]:",False
